priority,result,animal,id,scientific_name,current_level,aspca_status,match_type,aspca_scientific_names,aspca_common_names,source_urls,current_notes_en
P1,conflict_possible_overwarning,dog,AAA0864,Muscari armeniacum,1,non_toxic,exact,Muscari armeniacum; Muscari armeniacum,Grape Hyacinth; Muscari Armeniacum,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grape-hyacinth; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/muscari-armeniacum,Bulb ingestion may cause GI upset; not ASPCA-listed as high-risk.
P1,conflict_possible_overwarning,cat,AAA1036,Pittosporum tobira,1,non_toxic,exact,Pittosporum tobira,Japanese Pittosporum,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-pittosporum,Not prominently listed by ASPCA. Low-level toxicity.
P1,conflict_possible_overwarning,dog,AAA1036,Pittosporum tobira,1,non_toxic,exact,Pittosporum tobira,Japanese Pittosporum,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-pittosporum,Not prominently listed by ASPCA. Low-level toxicity.
P1,conflict_possible_overwarning,cat,AAA1246,Rosmarinus officinalis,1,non_toxic,exact,Rosmarinus officinalis,Rosemary,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rosemary,Leaf and moderate essential oil use safe. Concentrated oils hazardous to cats; seizures in very high doses reported in humans.
P1,conflict_possible_overwarning,cat,AAA1281,Salvia officinalis,1,non_toxic,exact,Salvia officinalis,Sage,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sage,Generally safe in culinary use. Thujone content means avoid long-term high-dose tea use during pregnancy.
P1,conflict_possible_overwarning,cat,AAA1300,Satureja hortensis,1,non_toxic,exact,Satureja hortensis; Satureja hortensis,Savory (Summer); Savory (Winter),https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/savory-summer; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/savory-winter,Generally regarded as safe in culinary amounts.
P1,conflict_possible_overwarning,cat,AAA1367,Stephanotis floribunda,2,non_toxic,exact,Stephanotis floribunda,Madagascar Jasmine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/madagascar-jasmine,Not individually ASPCA-listed; assessment based on milkweed-family (Apocynaceae) toxicology.
P1,conflict_possible_overwarning,dog,AAA1367,Stephanotis floribunda,2,non_toxic,exact,Stephanotis floribunda,Madagascar Jasmine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/madagascar-jasmine,Not individually ASPCA-listed; assessment based on milkweed-family (Apocynaceae) toxicology.
P1,conflict_possible_overwarning,cat,AAA1412,Thymus vulgaris,1,non_toxic,exact,Thymus vulgaris,Thyme,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/thyme,Generally safe in culinary use; concentrated essential oil hazardous to pets and requires dilution for topical use.
P1,conflict_possible_overwarning,cat,AAA1429,Trachelospermum jasminoides,2,non_toxic,exact,Trachelospermum jasminoides; Trachelospermum jasminoides,Confederate Jasmine; Star Jasmine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/confederate-jasmine; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/star-jasmine,"Not specifically listed by ASPCA but belongs to the toxic Apocynaceae family (same as oleander, dogbane)."
P1,conflict_possible_overwarning,dog,AAA1429,Trachelospermum jasminoides,2,non_toxic,exact,Trachelospermum jasminoides; Trachelospermum jasminoides,Confederate Jasmine; Star Jasmine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/confederate-jasmine; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/star-jasmine,"Not specifically listed by ASPCA but belongs to the toxic Apocynaceae family (same as oleander, dogbane)."
P2,conflict_possible_overwarning,cat,AAA0093,Alstroemeria ligtu,1,non_toxic,genus,Alstroemeria,Peruvian Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peruvian-lily,Sap can cause contact dermatitis in florists; generally low toxicity to pets.
P2,conflict_possible_overwarning,dog,AAA0093,Alstroemeria ligtu,1,non_toxic,genus,Alstroemeria,Peruvian Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peruvian-lily,Sap can cause contact dermatitis in florists; generally low toxicity to pets.
P2,conflict_possible_overwarning,cat,AAA0384,Crataegus monogyna,1,non_toxic,genus,Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species,Haws; Haws Apple; Hawthorn; Pirliteiro; Red Hawthorne; Washington Hawthorn; Weisdornbluten,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haws; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haws-apple; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hawthorn; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pirliteiro; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-hawthorne; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/washington-hawthorn; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/weisdornbluten,Not listed by ASPCA. Fruit flesh traditionally eaten in jellies and wines; seeds should not be crushed and consumed in quantity.
P2,conflict_possible_overwarning,dog,AAA0384,Crataegus monogyna,1,non_toxic,genus,Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species; Crataegus species,Haws; Haws Apple; Hawthorn; Pirliteiro; Red Hawthorne; Washington Hawthorn; Weisdornbluten,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haws; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haws-apple; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hawthorn; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pirliteiro; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-hawthorne; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/washington-hawthorn; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/weisdornbluten,Not listed by ASPCA. Fruit flesh traditionally eaten in jellies and wines; seeds should not be crushed and consumed in quantity.
P2,conflict_possible_overwarning,dog,AAA0612,Hemerocallis citrina,1,non_toxic,genus,Hemerocallis spp.,Day Lilies (many varieties),https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties,Buds edible dried/cooked in Chinese cuisine; all daylilies severely nephrotoxic to cats.
P2,conflict_possible_overwarning,dog,AAA0614,Hemerocallis lilioasphodelus,1,non_toxic,genus,Hemerocallis spp.,Day Lilies (many varieties),https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties,ASPCA lists daylilies as highly toxic to cats causing acute kidney failure; dogs tolerate. Buds are edible for humans when cooked.
P2,conflict_possible_overwarning,dog,AAA0615,Hemerocallis minor,1,non_toxic,genus,Hemerocallis spp.,Day Lilies (many varieties),https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties,All Hemerocallis species are severely nephrotoxic to cats per ASPCA.
P2,conflict_possible_overwarning,dog,AAA0760,Lilium candidum,1,non_toxic,genus,Lilium species,Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily,All true Lilium species lethal to cats.
P2,conflict_possible_overwarning,dog,AAA0761,Lilium henryi,1,non_toxic,genus,Lilium species,Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily,ASPCA: severely nephrotoxic to cats.
P2,conflict_possible_overwarning,dog,AAA0762,Lilium lancifolium,1,non_toxic,genus,Lilium species,Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily,ASPCA: severely nephrotoxic to cats. Bulbs edible for humans when cooked.
P2,conflict_possible_overwarning,dog,AAA0764,Lilium martagon,1,non_toxic,genus,Lilium species,Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily,ASPCA: all true Lilium species are severely nephrotoxic to cats; ingestion of any part can be fatal.
P2,conflict_possible_overwarning,dog,AAA0766,Lilium regale,1,non_toxic,genus,Lilium species,Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily,ASPCA: severely nephrotoxic to cats.
P2,conflict_possible_overwarning,cat,AAA0858,Morus alba,1,non_toxic,genus,Morus sp.,Mulberry Tree,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-tree,Ripe fruit safe and nutritious; unripe fruit and sap mildly hallucinogenic.
P2,conflict_possible_overwarning,dog,AAA0858,Morus alba,1,non_toxic,genus,Morus sp.,Mulberry Tree,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-tree,Ripe fruit safe and nutritious; unripe fruit and sap mildly hallucinogenic.
P2,conflict_possible_overwarning,cat,AAA0859,Morus nigra,1,non_toxic,genus,Morus sp.,Mulberry Tree,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-tree,Ripe fruit is edible and widely consumed; avoid unripe fruit and white sap.
P2,conflict_possible_overwarning,dog,AAA0859,Morus nigra,1,non_toxic,genus,Morus sp.,Mulberry Tree,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-tree,Ripe fruit is edible and widely consumed; avoid unripe fruit and white sap.
P2,conflict_possible_overwarning,cat,AAA0912,Opuntia microdasys,1,non_toxic,genus,Opuntia species,Tree Cactus,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-cactus,ASPCA lists Opuntia as non-toxic chemically; primary hazard is glochid injury.
P2,conflict_possible_overwarning,dog,AAA0912,Opuntia microdasys,1,non_toxic,genus,Opuntia species,Tree Cactus,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-cactus,ASPCA lists Opuntia as non-toxic chemically; primary hazard is glochid injury.
P2,conflict_possible_overwarning,cat,AAA0913,Opuntia santa-rita,1,non_toxic,genus,Opuntia species,Tree Cactus,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-cactus,Not chemically toxic; glochids (hair-like barbed spines) cause significant mechanical irritation.
P2,conflict_possible_overwarning,dog,AAA0913,Opuntia santa-rita,1,non_toxic,genus,Opuntia species,Tree Cactus,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tree-cactus,Not chemically toxic; glochids (hair-like barbed spines) cause significant mechanical irritation.
P2,conflict_possible_overwarning,cat,AAA1237,Rosa chinensis,1,non_toxic,genus,Rosa Species,Rose,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose,Roses are non-toxic per ASPCA; the only hazard is mechanical from thorns.
P2,conflict_possible_overwarning,dog,AAA1237,Rosa chinensis,1,non_toxic,genus,Rosa Species,Rose,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose,Roses are non-toxic per ASPCA; the only hazard is mechanical from thorns.
P2,conflict_possible_overwarning,cat,AAA1427,Toxicodendron diversilobum,1,non_toxic,genus,Toxicodendron species; Toxicodendron species; Toxicodendron species,Poison Ivy; Poison Oak; Poison Sumac,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-ivy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-oak; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-sumac,Urushiol causes dermatitis in most humans. Never burn.
P2,conflict_possible_overwarning,dog,AAA1427,Toxicodendron diversilobum,1,non_toxic,genus,Toxicodendron species; Toxicodendron species; Toxicodendron species,Poison Ivy; Poison Oak; Poison Sumac,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-ivy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-oak; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-sumac,Urushiol causes dermatitis in most humans. Never burn.
P2,conflict_possible_overwarning,cat,AAA1428,Toxicodendron radicans,1,non_toxic,genus,Toxicodendron species; Toxicodendron species; Toxicodendron species,Poison Ivy; Poison Oak; Poison Sumac,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-ivy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-oak; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-sumac,Urushiol causes dermatitis in most humans; pets rarely react but transfer oil on fur. Never burn.
P2,conflict_possible_overwarning,dog,AAA1428,Toxicodendron radicans,1,non_toxic,genus,Toxicodendron species; Toxicodendron species; Toxicodendron species,Poison Ivy; Poison Oak; Poison Sumac,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-ivy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-oak; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-sumac,Urushiol causes dermatitis in most humans; pets rarely react but transfer oil on fur. Never burn.
P2,review_current_unknown,cat,AAA0136,Arctotis stoechadifolia,,non_toxic,exact,Arctotis stoechadifolia; Arctotis stoechadifolia,Blue Eyed Daisy; Blue-eyed African Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-daisy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-african-daisy,Not listed by ASPCA; no significant toxicity reported.
P2,review_current_unknown,dog,AAA0136,Arctotis stoechadifolia,,non_toxic,exact,Arctotis stoechadifolia; Arctotis stoechadifolia,Blue Eyed Daisy; Blue-eyed African Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-daisy; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-eyed-african-daisy,Not listed by ASPCA; no significant toxicity reported.
P2,review_current_unknown,cat,AAA0530,Felicia amelloides,,non_toxic,exact,Felicia amelloides,Blue Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-daisy,Not listed by ASPCA; no significant toxicity reported.
P2,review_current_unknown,dog,AAA0530,Felicia amelloides,,non_toxic,exact,Felicia amelloides,Blue Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-daisy,Not listed by ASPCA; no significant toxicity reported.
P2,review_current_unknown,cat,AAA0715,Kniphofia caulescens,,non_toxic,genus,Kniphofia,Torch Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/torch-lily,Limited toxicity data; not listed by ASPCA.
P2,review_current_unknown,dog,AAA0715,Kniphofia caulescens,,non_toxic,genus,Kniphofia,Torch Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/torch-lily,Limited toxicity data; not listed by ASPCA.
