id,scientific_name,common_name,old_level,new_level,old_notes,new_notes,parts,changes
AAA0262,Capsicum annuum,Chili Pepper,faint,light,Mild Solanaceae foliage aroma.,The foliage has a mild Solanaceae foliage aroma.,leaf,level:faint->light; notes:sentence
AAA0263,Capsicum baccatum,Locoto Pepper,faint,light,Fruity citrus aroma from pods.,Fruity citrus aroma from pods.,fruit,level:faint->light
AAA0267,Carduus nutans,Musk Thistle,moderate,moderate,Sweet musky scent.,The flowers have a sweet musky scent.,flower,notes:sentence
AAA0279,Ceanothus americanus,New Jersey Tea,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0280,Ceanothus gloriosus,Point Reyes Ceanothus,faint,light,Mild honey scent.,The flowers have a mild honey scent.,flower,level:faint->light; notes:sentence
AAA0281,Ceanothus griseus horizontalis,Ceanothus griseus horizontalis,faint,light,Faint honey-like scent from flowers.,Faint honey-like scent from flowers.,flower,level:faint->light
AAA0282,Ceanothus impressus,Santa Barbara Ceanothus,faint,light,Honey-like scent.,The flowers have a honey-like scent.,flower,level:faint->light; notes:sentence
AAA0283,Ceanothus maritimus,Maritime Ceanothus,faint,light,Faint honey scent from flowers.,Faint honey scent from flowers.,flower,level:faint->light
AAA0284,Ceanothus thyrsiflorus,Blueblossom,faint,light,Honey-like scent attracting bees.,The flowers have a honey-like scent that attracts bees.,flower,level:faint->light; notes:sentence
AAA0288,Celastrus orbiculatus,Asian Bittersweet,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0295,Centaurea moschata,Sweet Sultan,strong,strong,Sweet musk fragrance.,The flowers have a sweet musk fragrance.,flower,notes:sentence
AAA0297,Centaurea stoebe,Spotted Knapweed,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0303,Cercis chinensis,Chinese Redbud,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0309,Chaenomeles japonica,Japanese Quince,faint,light,Flowers lightly fragrant; ripe fruit strongly aromatic.,Flowers lightly fragrant; ripe fruit strongly aromatic.,"flower,fruit",level:faint->light
AAA0310,Chaenomeles speciosa,Chinese Quince,moderate,strong,Ripe fruit strongly aromatic like quince; flowers lightly fragrant.,Ripe fruit strongly aromatic like quince; flowers lightly fragrant.,fruit,level:moderate->strong
AAA0312,Chamaedorea elegans,Parlour Palm,faint,light,Tiny yellow flowers have a light sweet scent.,Tiny yellow flowers have a light sweet scent.,flower,level:faint->light
AAA0317,Chionodoxa forbesii,Forbes' Glory-Of-The-Snow,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0319,Chionodoxa sardensis,Lesser Glory-Of-The-Snow,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0320,Chitalpa tashkentensis,× Chitalpa,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0325,Chrysanthemum x morifolium,Chrysanthemum × Morifolium,faint,moderate,Distinctive herbaceous chrysanthemum scent; foliage more pungent than flowers.,Distinctive herbaceous chrysanthemum scent; foliage more pungent than flowers.,"flower,leaf",level:faint->light; level:light->moderate
AAA0329,Cinchona officinalis,Quinine Tree,moderate,moderate,Sweet tubular flower scent.,The flowers have a sweet tubular flower scent.,flower,notes:sentence
AAA0330,Cirsium arvense,Creeping Thistle,faint,light,Light honey scent.,The flowers have a light honey scent.,flower,level:faint->light; notes:sentence
AAA0331,Cirsium vulgare,Bull Thistle,moderate,moderate,"Sweet, honey-like scent.","The flowers have a sweet, honey-like scent.",flower,notes:sentence
AAA0342,Clematis alpina,Alpine Clematis,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0343,Clematis armandii,Evergreen Clematis,strong,strong,Powerful sweet vanilla-almond fragrance.,The flowers have a powerful sweet vanilla-almond fragrance.,flower,notes:sentence
AAA0346,Clematis virginiana,Virgin's-Bower,faint,light,Mild sweet fragrance.,The flowers have a mild sweet fragrance.,flower,level:faint->light; notes:sentence
AAA0353,Cleyera japonica,"Bird Claw Cleyera, Japanese Cleyera",moderate,moderate,Sweet honey scent.,The flowers have a sweet honey scent.,flower,notes:sentence
AAA0356,Coleus scutellarioides,Coleus,faint,light,Mild minty scent when leaves crushed.,Mild minty scent when leaves crushed.,leaf,level:faint->light
AAA0362,Convolvulus arvensis,Field Bindweed,faint,light,Light sweet scent in morning.,Light sweet scent in morning.,flower,level:faint->light
AAA0368,Cornus alternifolia,Alternate-Leaved Dogwood,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0369,Cornus controversa,Giant Dogwood,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0372,Cornus mas,Cornelian Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0378,Costus speciosus,Crêpe Ginger,faint,light,Light fresh scent.,The flowers have a light fresh scent.,flower,level:faint->light; notes:sentence
AAA0381,Crassula ovata,Jade Plant,faint,light,Starry clusters of small flowers have a faint sweet scent.,Starry clusters of small flowers have a faint sweet scent.,flower,level:faint->light
AAA0385,Crinum x powellii,Powell's Cape-Lily,moderate,moderate,"sweet, vanilla-like","The flowers have a sweet, vanilla-like scent.",flower,notes:sentence
AAA0386,Crocosmia aurea,Falling Stars,faint,light,mild saffron-like when dried,The flowers have a mild saffron-like when dried scent.,flower,level:faint->light; notes:sentence
AAA0388,Crocus vernus,Spring Crocus,faint,light,Light honey scent.,The flowers have a light honey scent.,flower,level:faint->light; notes:sentence
AAA0392,Cucumis sativus,Cucumber,faint,light,Fresh green aroma.,The foliage has a fresh green aroma.,"leaf,fruit",level:faint->light; notes:sentence
AAA0400,Cupressus arizonica,Arizona Cypress,moderate,moderate,Pungent resinous cypress scent.,The foliage has a pungent resinous cypress scent.,leaf,notes:sentence
AAA0404,Cyclamen persicum,Persian Cyclamen,faint,light,Some cultivars are bred for fragrance; most modern florist types have little scent.,Some cultivars are bred for fragrance; most modern florist types have little scent.,flower,level:faint->light
AAA0406,Cymbidium goeringii,Noble Orchid,moderate,light,"Subtle complex fragrance famously celebrated in Chinese literature — the ""scent of the empty valley.""","Subtle complex fragrance famously celebrated in Chinese literature — the ""scent of the empty valley."".",flower,level:moderate->light; notes:sentence
AAA0409,Cynara cardunculus,Artichoke Thistle,faint,light,Mild thistle-honey aroma from open flowers.,Mild thistle-honey aroma from open flowers.,flower,level:faint->light
AAA0411,Cyperus esculentus,Yellow Nutsedge,faint,light,Tubers sweet and nutty-flavored; plant mostly scentless.,Tubers sweet and nutty-flavored; plant mostly scentless.,tuber,level:faint->light
AAA0415,Cyrilla racemiflora,Swamp Titi,moderate,moderate,Sweet honey-like floral fragrance.,The flowers have a sweet honey-like floral fragrance.,flower,notes:sentence
AAA0421,Daphne cneorum,Rose Daphne,strong,strong,Intense sweet clove-carnation fragrance.,The flowers have an intense sweet clove-carnation fragrance.,flower,notes:sentence
AAA0427,Daucus carota,Wild Carrot,faint,light,Distinctive carrot aroma in crushed foliage and roots.,Distinctive carrot aroma in crushed foliage and roots.,"leaf,root",level:faint->light
AAA0432,Deutzia crenata,Deutzia,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0433,Deutzia gracilis,Slender Deutzia,faint,light,"Light sweet scent, not strong.","Light sweet scent, not strong.",flower,level:faint->light
AAA0434,Deutzia purpurascens,Deutzia purpurascens,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0435,Deutzia scabra,Deutzia,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0436,Deutzia x hybrida,Deutzia x hybrida,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0439,Dianthus chinensis,Chinese-Pink,faint,light,Faint spicy-sweet clove scent.,The flowers have a faint spicy-sweet clove scent.,flower,level:faint->light; notes:sentence
AAA0440,Dianthus deltoides,Maiden Pink,faint,light,"Very faint scent, much less pronounced than cottage pink.","Very faint scent, much less pronounced than cottage pink.",flower,level:faint->light
AAA0442,Dianthus knappii,Yellow Pink,faint,light,,Flowers have a light clove-like scent typical of some Dianthus.,flower,level:faint->light; notes:filled
AAA0456,Diplotaxis tenuifolia,Perennial Wall-Rocket,moderate,moderate,Sharp peppery mustard aroma.,The foliage has a sharp peppery mustard aroma.,leaf,notes:sentence
AAA0460,Dracaena marginata,Dracaena Reflexa,faint,light,"Rare indoor flowers have a mild sweet scent, most noticeable at night.","Rare indoor flowers have a mild sweet scent, most noticeable at night.",flower,level:faint->light
AAA0461,Dracaena reflexa,Song Of India,faint,light,Faint floral scent when blooming.,Faint floral scent when blooming.,flower,level:faint->light
AAA0475,Echinacea angustifolia,Narrow-Leaved Purple Coneflower,faint,light,Mild honey scent.,The flowers have a mild honey scent.,flower,level:faint->light; notes:sentence
AAA0478,Echinacea purpurea,Purple Coneflower,faint,light,Mild honey-like scent attractive to bees and butterflies.,Mild honey-like scent attractive to bees and butterflies.,flower,level:faint->light
AAA0482,Eichhornia crassipes,Common Water Hyacinth,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0483,Elaeagnus umbellata,Autumn Olive,strong,strong,"Sweet, jasmine-like fragrance.","The flowers have a sweet, jasmine-like fragrance.",flower,notes:sentence
AAA0497,Eremurus robustus,Foxtail Lily,faint,light,Flowers very lightly honey-scented.,The flowers have a very lightly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA0498,Erigeron canadensis,Horseweed,faint,light,Foliage faintly aromatic when crushed.,Foliage faintly aromatic when crushed.,leaf,level:faint->light
AAA0499,Eriogonum arborescens,Santa Cruz Island Wild Buckwheat,faint,light,Honey-like scent attracting pollinators.,The flowers have a honey-like scent that attracts pollinators.,flower,level:faint->light; notes:sentence
AAA0500,Eriogonum fasciculatum,California Buckwheat,faint,light,Sweet honey-like scent attracting pollinators.,Sweet honey-like scent attracting pollinators.,flower,level:faint->light
AAA0501,Eruca sativa,Rocket Salad,moderate,moderate,Peppery-mustard aroma when bruised.,The foliage has a peppery-mustard aroma when bruised scent.,leaf,notes:sentence
AAA0506,Etlingera elatior,Torch Ginger,moderate,moderate,Warm gingery-floral scent.,The flowers have a warm gingery-floral scent.,"flower,leaf",notes:sentence
AAA0507,Eucomis bicolor,Variegated Pineapple Lily,faint,light,Flowers very lightly musty-sweet.,The flowers have a very lightly musty-sweet scent.,flower,level:faint->light; notes:sentence
AAA0508,Eucomis comosa,Crown Pineapple Lily,faint,light,"mild, sometimes unpleasant","The flowers have a mild, sometimes unpleasant scent.",flower,level:faint->light; notes:sentence
AAA0512,Euonymus japonicus,Japanese Spindle Tree,faint,light,Mild scent—some find unpleasant.,Mild scent—some find unpleasant.,flower,level:faint->light
AAA0522,Eustoma grandiflorum,Showy Prairie Gentian,faint,light,,Flowers are only lightly scented.,flower,level:faint->light; notes:filled
AAA0523,Exochorda giraldii,Exochorda Racemosa,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0524,Exochorda racemosa,Pearl Bush,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0527,Fallopia japonica,Japanese Knotweed,faint,light,Light honey scent attracting bees.,Light honey scent attracting bees.,flower,level:faint->light
AAA0535,Ficus carica,Common Fig,faint,light,"Distinctive green-milky fig aroma, especially from crushed leaves.","Distinctive green-milky fig aroma, especially from crushed leaves.","fruit,leaf",level:faint->light
AAA0547,Franklinia alatamaha,Franklin Tree,moderate,moderate,"sweet, honey-like","The flowers have a sweet, honey-like scent.",flower,notes:sentence
AAA0555,Fritillaria persica,Sand Fritillary,faint,light,Bulbs faintly musky; flowers nearly scentless.,Bulbs faintly musky; flowers nearly scentless.,bulb,level:faint->light
AAA0560,Galanthus elwesii,Greater Snowdrop,faint,light,Flowers lightly honey-scented.,The flowers have a lightly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA0561,Galanthus nivalis,Common Snowdrop,faint,light,Flowers lightly honey-scented on warm days.,Flowers lightly honey-scented on warm days.,flower,level:faint->light
AAA0563,Galinsoga quadriradiata,Shaggy Soldier,faint,light,"Foliage faintly earthy-herbal, distinctive in Colombian cuisine.","Foliage faintly earthy-herbal, distinctive in Colombian cuisine.",leaf,level:faint->light
AAA0569,Gelsemium sempervirens,Yellow Jessamine,strong,strong,Sweet jasmine-honeysuckle fragrance.,The flowers have a sweet jasmine-honeysuckle fragrance.,flower,notes:sentence
AAA0571,Geranium macrorrhizum,Rock Crane's-Bill,strong,strong,"aromatic, resinous, pine-like","The foliage has an aromatic, resinous, pine-like scent.","leaf,root",notes:sentence
AAA0574,Geranium sanguineum,Bloody Crane's-Bill,faint,light,Mild musky scent when leaves are crushed.,Mild musky scent when leaves are crushed.,leaf,level:faint->light
AAA0583,Gladiolus nanus,Late Bobbejaantjie,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0586,Glechoma hederacea,Ground-Ivy,moderate,moderate,Foliage minty-resinous when crushed.,The foliage has a minty-resinous when crushed scent.,leaf,notes:sentence
AAA0587,Gleditsia japonica,Japanese Honey Locust,faint,light,Mild sweet pea-like scent.,The flowers have a mild sweet pea-like scent.,flower,level:faint->light; notes:sentence
AAA0591,Gordonia lasianthus,Loblolly Bay,moderate,moderate,Sweet camellia-like fragrance.,The flowers have a sweet camellia-like fragrance.,flower,notes:sentence
AAA0599,Hamamelis virginiana,American Witch Hazel,moderate,moderate,Sweet delicate autumn fragrance.,The flowers have a sweet delicate autumn fragrance.,flower,notes:sentence
AAA0602,Hedera helix,Common Ivy,faint,light,Autumn flowers have a faint musky scent attractive to late-season pollinators.,Autumn flowers have a faint musky scent attractive to late-season pollinators.,flower,level:faint->light
AAA0604,Helianthus annuus,Common Sunflower,faint,light,Mild pollen scent.,The flowers have a mild pollen scent.,flower,level:faint->light; notes:sentence
AAA0607,Helichrysum petiolare,Licorice Plant,faint,light,Faint licorice-like scent from crushed foliage.,Faint licorice-like scent from crushed foliage.,leaf,level:faint->light
AAA0609,Heliotropium arborescens,Cherry-Pie,strong,strong,"vanilla, cherry pie, almond","The flowers have a vanilla, cherry pie, almond scent.",flower,notes:sentence
AAA0612,Hemerocallis citrina,Citron Day-Lily,strong,strong,"citrus, lemon","The flowers have a citrus, lemon scent.",flower,notes:sentence
AAA0613,Hemerocallis fulva,Orange Day-Lily,faint,light,Most daylilies are weakly scented; some modern cultivars have been bred for stronger fragrance.,Most daylilies are weakly scented; some modern cultivars have been bred for stronger fragrance.,flower,level:faint->light
AAA0614,Hemerocallis lilioasphodelus,Yellow Daylily,moderate,moderate,sweet citrus,The flowers have a sweet citrus scent.,flower,notes:sentence
AAA0615,Hemerocallis minor,Small Daylily,moderate,moderate,sweet,The flowers have a sweet scent.,flower,notes:sentence
AAA0616,Heptacodium miconioides,Seven Sons Tree,strong,strong,sweet jasmine-like,The flowers have a sweet jasmine-like scent.,flower,notes:sentence
