priority,result,subject,id,scientific_name,current_level,ncsu_status,url,tags
P1,conflict_possible_overwarning,dog,AAA0529,Fatsia japonica,1,non_toxic,https://plants.ces.ncsu.edu/plants/fatsia-japonica/,acidic-soil-tolerant; black-fruits; broadleaf-evergreen; cpp; cutting-garden; drought-tolerant; dry-shade; evergreen; evergreen-shrub; fantz; flower-arrangements; heavy-shade-tolerant; hedge; houseplant; hs111; hs303; interiorscape; leathery-leaves; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; patio; salt-spray-tolerant; salt-tolerant; shade-garden; showy-fruits; tropical-feel; white-flowers
P1,conflict_possible_overwarning,dog,AAA0615,Hemerocallis minor,1,non_toxic,https://plants.ces.ncsu.edu/plants/hemerocallis-minor/,border-front; clumping; easy-to-grow; easy-to-transplant; groundcover; herbaceous-perennial; mass-planting; naturalized-area; non-toxic-for-dogs; non-toxic-for-horses; perennial_1; problem-for-cats; rock-gardens; showy-flowers; slopes; spring-flowers; yellow-flowers
P1,conflict_possible_overwarning,cat,AAA0629,Hibiscus syriacus,1,non_toxic,https://plants.ces.ncsu.edu/plants/hibiscus-syriacus/,aggressive; air-pollution-tolerant; bee-friendly; butterfly-friendly; childrens-garden; cpp; deciduous; dragonflies; drought-tolerant; fantz; fast-growing; fpp; heat-tolerant; hedge; hs303; hummingbirds; landscape-plant-sleuths-course; ncemgva2018; nectar-plant; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; play; pollinator-plant; salt-tolerant; small-tree; specialized-bees; tsc; tsc-s; weedy; wet-soils-tolerant; wildlife-friendly
P1,conflict_possible_overwarning,dog,AAA0629,Hibiscus syriacus,2,non_toxic,https://plants.ces.ncsu.edu/plants/hibiscus-syriacus/,aggressive; air-pollution-tolerant; bee-friendly; butterfly-friendly; childrens-garden; cpp; deciduous; dragonflies; drought-tolerant; fantz; fast-growing; fpp; heat-tolerant; hedge; hs303; hummingbirds; landscape-plant-sleuths-course; ncemgva2018; nectar-plant; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; play; pollinator-plant; salt-tolerant; small-tree; specialized-bees; tsc; tsc-s; weedy; wet-soils-tolerant; wildlife-friendly
P1,conflict_possible_overwarning,dog,AAA0762,Lilium lancifolium,1,non_toxic,https://plants.ces.ncsu.edu/plants/lilium-lancifolium/,aggressive; bulbils; large-flowers; non-toxic-for-dogs; non-toxic-for-horses; orange-flowers; problem-for-cats; showy-flowers; weedy
P1,conflict_possible_overwarning,dog,AAA0763,Lilium longiflorum,1,non_toxic,https://plants.ces.ncsu.edu/plants/lilium-longiflorum/,bee-friendly; difficult-to-grow; early-fall-flowers; florist-plant; fragrant-flowers; large-flowers; late-summer-flowers; mass-planting; nectar-plant-early-fall; nectar-plant-late-summer; non-toxic-for-dogs; non-toxic-for-horses; pollinator-plant; problem-for-cats; showy-flowers; slopes; small-spaces; white-flowers; wildlife-friendly; woodland_1
P1,conflict_possible_overwarning,dog,AAA0767,Lilium speciosum,1,non_toxic,https://plants.ces.ncsu.edu/plants/lilium-speciosum/,bee-friendly; border; butterfly-friendly; container; edible-bulbs; fragrant-flowers; full-sun; mass-planting; non-toxic-for-dogs; non-toxic-for-horses; part-shade; pink-flowers; problem-for-cats; showy-flowers
P1,conflict_possible_overwarning,cat,AAA0858,Morus alba,1,non_toxic,https://plants.ces.ncsu.edu/plants/morus-alba/,4h; bird-friendly; branching; deciduous-tree; drought-tolerant; edible-fruits; edible-garden; fast-growing; fruit-tree; hs304; messy; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; weedy; wildlife-friendly
P1,conflict_possible_overwarning,dog,AAA0858,Morus alba,1,non_toxic,https://plants.ces.ncsu.edu/plants/morus-alba/,4h; bird-friendly; branching; deciduous-tree; drought-tolerant; edible-fruits; edible-garden; fast-growing; fruit-tree; hs304; messy; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; weedy; wildlife-friendly
P1,conflict_possible_overwarning,cat,AAA0864,Muscari armeniacum,1,non_toxic,https://plants.ces.ncsu.edu/plants/muscari-armeniacum/,black-walnut-toxicity-tolerant; border-front; borders; bulb; container; cutting-garden; deer-damage; drought-tolerant; ebh; ebh-g; fairy-garden; fantz; full-sun; hardy; hs302; mass-planting; moist-soil; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; part-shade; poor-soil-tolerant; purple-flowers; rock-gardens; showy-flowers; slow-growing; spring-flowering-bulbs; spring-flowers; spring-interest; walkway; weedy; woodland_1
P1,conflict_possible_overwarning,dog,AAA0864,Muscari armeniacum,1,non_toxic,https://plants.ces.ncsu.edu/plants/muscari-armeniacum/,black-walnut-toxicity-tolerant; border-front; borders; bulb; container; cutting-garden; deer-damage; drought-tolerant; ebh; ebh-g; fairy-garden; fantz; full-sun; hardy; hs302; mass-planting; moist-soil; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; part-shade; poor-soil-tolerant; purple-flowers; rock-gardens; showy-flowers; slow-growing; spring-flowering-bulbs; spring-flowers; spring-interest; walkway; weedy; woodland_1
P1,conflict_possible_overwarning,cat,AAA0912,Opuntia microdasys,1,non_toxic,https://plants.ces.ncsu.edu/plants/opuntia-microdasys/,accent; cactus; contact-dermatitis; container; desert-plant; drought-tolerant; dry-soils-tolerant; edible-fruits; full-sun; full-sun_1; groundcover; houseplant; low-humidity-tolerant; non-toxic-for-cats; non-toxic-for-dogs; perennial_1; purple-fruits; red-fruits; rock-gardens; shrub; spines; yellow-flowers
P1,conflict_possible_overwarning,dog,AAA0912,Opuntia microdasys,1,non_toxic,https://plants.ces.ncsu.edu/plants/opuntia-microdasys/,accent; cactus; contact-dermatitis; container; desert-plant; drought-tolerant; dry-soils-tolerant; edible-fruits; full-sun; full-sun_1; groundcover; houseplant; low-humidity-tolerant; non-toxic-for-cats; non-toxic-for-dogs; perennial_1; purple-fruits; red-fruits; rock-gardens; shrub; spines; yellow-flowers
P1,conflict_possible_overwarning,cat,AAA1036,Pittosporum tobira,1,non_toxic,https://plants.ces.ncsu.edu/plants/pittosporum-tobira/,4h; childrens-garden; coastal; container; cpp; deer-damage; drought-tolerant; evergreen; fantz; fragrant-flowers; heat-tolerant; hedge; hs111; hs304; interiorscape; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; patio; picturesque; play; salt-spray-tolerant; salt-tolerant; screen; showy-flowers; specimen; winter-interest
P1,conflict_possible_overwarning,dog,AAA1036,Pittosporum tobira,1,non_toxic,https://plants.ces.ncsu.edu/plants/pittosporum-tobira/,4h; childrens-garden; coastal; container; cpp; deer-damage; drought-tolerant; evergreen; fantz; fragrant-flowers; heat-tolerant; hedge; hs111; hs304; interiorscape; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; patio; picturesque; play; salt-spray-tolerant; salt-tolerant; screen; showy-flowers; specimen; winter-interest
P1,conflict_possible_overwarning,cat,AAA1281,Salvia officinalis,1,non_toxic,https://plants.ces.ncsu.edu/plants/salvia-officinalis/,4h; bee-friendly; borders; butterfly-friendly; deer-resistant; drought-tolerant; edible-garden; fragrant-leaves; hairy-leaves; hairy-stems; herb-garden; landscape-plant-sleuths-course; nectar-plant; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; perennial_1; rabbit-resistant; rock-gardens; sensory-garden; th-smell; th-sowing; th-taste; th-touch; th-wildlife; vegetable-garden; velvety; veriegated; vhfn; vhfn-h; wildlife-friendly
P1,conflict_possible_overwarning,cat,AAA1300,Satureja hortensis,1,non_toxic,https://plants.ces.ncsu.edu/plants/satureja-hortensis/,bushy; companion-plant; culinary; deer-resistant; edible-leaves; herb; herbaceous-perennial; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses
P1,conflict_possible_overwarning,cat,AAA1367,Stephanotis floribunda,2,non_toxic,https://plants.ces.ncsu.edu/plants/stephanotis-floribunda/,climber; cutting-garden; evergreen; flower-arrangements; fragrant-flowers; houseplant; interiorscape; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; sweet-fragrance; vine
P1,conflict_possible_overwarning,dog,AAA1367,Stephanotis floribunda,2,non_toxic,https://plants.ces.ncsu.edu/plants/stephanotis-floribunda/,climber; cutting-garden; evergreen; flower-arrangements; fragrant-flowers; houseplant; interiorscape; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; sweet-fragrance; vine
P1,conflict_possible_overwarning,cat,AAA1412,Thymus vulgaris,1,non_toxic,https://plants.ces.ncsu.edu/plants/thymus-vulgaris/,4h; attractive-foliage; bee-friendly; border-front; borders; broadleaf-evergreen; butterfly-friendly; childrens-garden; container; cutting-garden; dried-arrangements; drought-tolerant; dry-soils-tolerant; ebh; ebh-vh; edible; edible-flowers; edible-fruits; edible-garden; edible-landscaping; edible-leaves; edible-shrub; fine-texture; fragrant-flowers; fragrant-leaves; full-sun; groundcover; herb-garden; herbaceous; herbaceous-perennial; intolerance-wet-soils; intolerant-shade; low-maintenance; moist-soil; naturalized-area; nectar-plant; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; perennial-flowers; perennial_1; play; pollinator-plant; purple-flowers; rock-gardens; rocky-soils-tolerant; salt-tolerant; sandy-soils-tolerant; showy-flowers; small-flowers; small-groups; small-shrub; spreading; spring-flowers; spring-interest; subshrub; summer-flowers; summer-interest; th-sight; th-sowing; th-taste; th-wildlife; vhfn; vhfn-h; walkway; well-drained-soil; white-flowers; wildlife-friendly; wilson-mg-plant-sale-2021; winter-garden; winter-interest; woody-perennial
P1,conflict_possible_overwarning,cat,AAA1428,Toxicodendron radicans,1,non_toxic,https://plants.ces.ncsu.edu/plants/toxicodendron-radicans/,bird-friendly; contact-dermatitis; cpp; deciduous; drought-tolerant; fall-interest; fast-growing; food-source-fall; high-maintenance; hs111; hs303; native-weed; nc-native; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; perennial-weed; poisonous; shelter; weedy; weedy-vine; wildlife-friendly
P1,conflict_possible_overwarning,dog,AAA1428,Toxicodendron radicans,1,non_toxic,https://plants.ces.ncsu.edu/plants/toxicodendron-radicans/,bird-friendly; contact-dermatitis; cpp; deciduous; drought-tolerant; fall-interest; fast-growing; food-source-fall; high-maintenance; hs111; hs303; native-weed; nc-native; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; perennial-weed; poisonous; shelter; weedy; weedy-vine; wildlife-friendly
P1,conflict_possible_overwarning,cat,AAA1429,Trachelospermum jasminoides,2,non_toxic,https://plants.ces.ncsu.edu/plants/trachelospermum-jasminoides/,arbor; bee-friendly; childrens-garden; container; cpp; deer-resistant; evergreen; fantz; fast-growing; fence; fragrant-flowers; hs304; leathery-leaves; nectar-plant-spring; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; play; pollinator-plant; salt-tolerant; trellis; vertical-spaces; wildlife-friendly
P1,conflict_possible_overwarning,dog,AAA1429,Trachelospermum jasminoides,2,non_toxic,https://plants.ces.ncsu.edu/plants/trachelospermum-jasminoides/,arbor; bee-friendly; childrens-garden; container; cpp; deer-resistant; evergreen; fantz; fast-growing; fence; fragrant-flowers; hs304; leathery-leaves; nectar-plant-spring; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; play; pollinator-plant; salt-tolerant; trellis; vertical-spaces; wildlife-friendly
P2,horse_toxic_source_only,horse,AAA0020,Acer rubrum,,toxic,https://plants.ces.ncsu.edu/plants/acer-rubrum/,4h; audubon; bee-friendly; bird-friendly; buffer; butterfly-friendly; childrens-garden; coastal; coastal-fac; colorful-leaves; compaction-tolerant; cpp; deciduous; deciduous-tree; drought-tolerant; edible-seeds; fall-interest; fast-growing; flood-tolerant; flowering-tree_1; food-source-hard-mast-fruit; food-source-herbage; food-source-nectar; food-source-pollen; food-source-spring; food-source-summer; fpp; full-sun; heat-tolerant; hs111; hs304; illustration; imperial-moth; landscape-plant-sleuths-course; larval-host-plant; low-flammability; mccarthy-memorial-garden; moist-soil; mountains; native-garden; native-tree; nc-native; nectar-plant; nectar-plant-early-spring; nectar-plant-late-winter; nighttime-garden; non-toxic-for-cats; non-toxic-for-dogs; part-shade; periodic-flooded-conditions-tolerant; piedmont; piedmont-mountains-fac; play; pollinator-plant; problem-for-horses; red-flowers; samaras; screen; shade-tree; small-and-large-mammals; small-mammals; specimen; spring-flowers; spring-fruits; spring-interest; summer-fruits; summer-interest; tsc; tsc-t; wet-soils-tolerant; wetland-margins; wildlife-friendly; winter-flowers; winter-garden; winter-interest; winter-wind-intolerant
P2,horse_toxic_source_only,horse,AAA0024,Achillea millefolium,,toxic,https://plants.ces.ncsu.edu/plants/achillea-millefolium/,bee-friendly; beneficial-insects; contact-dermatitis; cottage-garden; cutting-garden; deer-resistant; dye-plant; fantz; fragrant-leaves; full-sun; groundcovers-that-can-be-mowed; herb-garden; herbaceous-perennial; hs303; lawn-alternative; meadow; medicinal; naturalizes; ncemgva2018; nectar-plant; part-shade; pink-flowers; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; red-flowers; salt-tolerant; spring-interest; stormwater-demo-garden-orange-co; summer-flowers; weedy; white-flowers; wildflower; wildlife-friendly; yellow-flowers
P2,horse_toxic_source_only,horse,AAA0032,Adenium obesum,,toxic,https://plants.ces.ncsu.edu/plants/adenium-obesum/,bonsai; butterfly-friendly; container; drought-tolerant; dry-soils-tolerant; houseplant; hummingbirds; interiorscape; pink-flowers; poisonous; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; red-flowers; showy-flowers; slow-growing; small-tree; specimen; succulent; summer-flowers; tropical-feel; winter-interest
P2,horse_toxic_source_only,horse,AAA0036,Aesculus flava,,toxic,https://plants.ces.ncsu.edu/plants/aesculus-flava/,acidic-soil-tolerant; audubon; bee-friendly; braham-arboretum; butterfly-friendly; coastal-facu; deciduous; deciduous-tree; deer-resistant; disease-resistant; early-summer-flowers; fall-interest; flowering-tree_1; flowers-mid-spring; food-source-hard-mast-fruit; food-source-nectar; food-source-pollen; food-source-summer; fruits-early-fall; full-sun; high-maintenance; hs304; hummingbirds; late-spring-flowers; loamy-soils-tolerant; low-flammability; moist-soil; mountains; native-garden; native-tree; nc-native; nectar-plant; neutral-ph; nuts; organic-soils; part-shade; piedmont; piedmont-mountains-facu; poisonous; pollinator-plant; problem-for-cats; problem-for-children; problem-for-dogs; problem-for-horses; red-flowers; sandy-soils-tolerant; shade-tree; showy-flowers; showy-fruits; showy-leaves; small-and-large-mammals; spring-flowers; spring-interest; squirrels; summer-fruits; summer-interest; well-drained-soil; wildlife-friendly; woodland_1; woody; yellow-flowers
P2,horse_toxic_source_only,horse,AAA0037,Aesculus glabra,,toxic,https://plants.ces.ncsu.edu/plants/aesculus-glabra/,butterfly-friendly; deciduous; fall-interest; messy; messy-fruits; nectar-plant; problem-for-cats; problem-for-dogs; problem-for-horses; shade-tree; showy-fruits; wildlife-friendly
P2,horse_toxic_source_only,horse,AAA0038,Aesculus pavia,,toxic,https://plants.ces.ncsu.edu/plants/aesculus-pavia/,bee-friendly; braham-arboretum; butterfly-friendly; collier-preserve-tn; cpp; deciduous; deer-resistant; fantz; flowering-tree_1; full-sun; hedge; highly-beneficial-coastal-plants; honey-bees; hs304; hummingbirds; messy; native-garden; native-tree; nc-native; nc-native-pollinator-plant; nectar-plant; nectar-plant-early-spring; nectar-plant-mid-spring; part-shade; poisonous; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; rain-garden; riparian; shrub; small-mammals; small-tree; specimen; spring-interest; stream-banks; wet-soils-tolerant; wildlife-friendly; woodland_1
P2,horse_toxic_source_only,horse,AAA0039,Agarista populifolia,,toxic,https://plants.ces.ncsu.edu/plants/agarista-populifolia/,audubon; bee-friendly; bird-friendly; butterfly-friendly; coastal-facw; cover-plant-winter; deer-resistant; evergreen; fantz; food-source-fall; food-source-hard-mast-fruit; food-source-nectar; food-source-pollen; fragrant-flowers; hs304; native-garden; native-shrub; nc-native; nectar-plant; nesting-site; piedmont-mountains-obl; poisonous; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; wildlife-friendly; year-round-interest
P2,horse_toxic_source_only,horse,AAA0066,Allium cepa,,toxic,https://plants.ces.ncsu.edu/plants/allium-cepa/,4h; black-walnut-toxicity-tolerant; child; children; cool-season-vegetable; deer-resistant; dye-plant; early-care; early-childhood; easy-edibles; edible; microgreens; preschool; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; th-smell; th-sowing; th-taste; th-touch; th-wildlife; vegetable; vegetable-garden; vhfn; vhfn-v
P2,horse_toxic_source_only,horse,AAA0071,Allium sativum,,toxic,https://plants.ces.ncsu.edu/plants/allium-sativum/,4h; black-walnut-toxicity-tolerant; bulb; child; children; contact-dermatitis; cool-season-vegetable; deer-resistant; early-care; early-childhood; easy-edibles; edible; edible-bulbs; edible-leaves; mass-planting; preschool; problem-for-cats; problem-for-dogs; problem-for-horses; tunicated-bulb
P2,horse_toxic_source_only,horse,AAA0072,Allium schoenoprasum,,toxic,https://plants.ces.ncsu.edu/plants/allium-schoenoprasum/,borders; bulb; childrens-garden; container; cool-season-vegetable; edible; edible-garden; fragrant-leaves; herb-garden; herbaceous-perennial; interiorscape; patio; play; problem-for-cats; problem-for-dogs; problem-for-horses; rock-gardens; small-spaces; th-smell; th-sowing; th-taste; th-wildlife; vegetable; vegetable-garden; wildlife-friendly
P2,horse_toxic_source_only,horse,AAA0089,Aloe vera,,toxic,https://plants.ces.ncsu.edu/plants/aloe-vera/,drought-tolerant; fleshy-leaves; herbaceous-perennial; houseplant; interiorscape; medicinal; orange-flowers; perennial_1; poisonous; problem-for-cats; problem-for-dogs; problem-for-horses; red-flowers; succulent; tropical-feel; tropical-perennial; yellow-flowers
P2,horse_toxic_source_only,horse,AAA0090,Aloysia citriodora,,toxic,https://plants.ces.ncsu.edu/plants/aloysia-citriodora/,container; edible-flowers; edible-garden; edible-leaves; fragrant-flowers; fragrant-leaves; full-sun; lavender; patio; problem-for-cats; problem-for-dogs; problem-for-horses; sensory-garden; summer-flowers; walkway
